ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
346,8/16/2019,2019,,Vernon City Police Department,TX,,,,Emergency Services,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
347,8/16/2019,2019,,15 Undisclosed Texas Towns,TX,Texas,,", TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
348,8/16/2019,2019,,"Robertson County Sheriff's Office, Texas",TX,Texas,Robertson County,"Robertson County, TX",Government Facilities,,,,,,,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://www.kbtx.com/content/news/Local-IT-departments-on-alert-as-agencies-including-Robertson-County-Sheriffs-Office-hacked-557926521.html,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
349,8/16/2019,2019,,"Kaufman City, Texas",TX,Texas,Kaufman County,"Kaufman County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
350,8/16/2019,2019,,"Wilmer City, Texas",TX,Texas,Dallas County,"Dallas County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
351,8/16/2019,2019,,"Grayson County, Texas",TX,Texas,Grayson County,"Grayson County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
352,8/16/2019,2019,,"Lubbock County, Texas",TX,Texas,Lubbock County,"Lubbock County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
353,8/16/2019,2019,,"Keene City, Texas",TX,Texas,Johnson County,"Johnson County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://statescoop.com/texas-ransomware-attack-nine-named-feds-respond/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
354,8/16/2019,2019,,"Borger City, Texas",TX,Texas,Hutchinson County,"Hutchinson County, TX",Government Facilities,,,,,,Undisclosed bitcoin,total of $2.5 million among 22 texas towns,$100000 or less,No,N/A,N/A,https://www.newschannel10.com/2019/08/19/city-borger-affected-by-ransomware-attack/,344-354: Hackers used a coordinated attack to hit 22 towns in Texas. They asked for a collective $2.5 million in bitcoin. No ransom was paid.,
355,8/23/2019,2019,,Magnolia Pediatrics,LA,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/malicious-code-on-mission-health-store-website-undetected-for-3-years;  https://magnoliapediatrics.com/notice-of-potential-unauthorized-disclosure-of-information-for-patients-of-magnolia-pediatrics/,,
356,8/26/2019,2019,,Percsoft and the Digital Dental Record,WI,,,,Information Technology,Healthcare and Public Health,Revil/sodinokibi,S0496,4 days,1 week or less,,,,Yes,,,https://www.cnn.com/2019/08/29/politics/ransomware-attack-dental-offices/index.html  https://www.bleepingcomputer.com/news/security/sodinokibi-ransomware-encrypts-records-of-hundreds-of-dental-practices/,,possible payments up to $2.5 million
357,8/30/2019,2019,,"Charlton Town, MA",MA,Massachusetts,Worcester County,"Worcester County, MA",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.govtech.com/security/Massachusetts-Communities-Fight-Back-Against-Cyberattacks.html,,
358,8/30/2019,2019,"Unspecified, late August 2019",Platte County School District,MO,Missouri,Platte County,"Platte County, MO",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.kshb.com/news/local-news/platte-county-schools-target-of-malware-attack-tech-team-honored-for-response,,
359,9/1/2019,2019,,"Lake County, Indiana",IN,Indiana,Lake County,"Lake County, IN",Government Facilities,,,,2 weeks,1 month or less,,,,No,N/A,N/A,https://www.nbcchicago.com/news/local/lake-county-indiana-hit-by-ransomware-attack-559603631.html,,
360,9/1/2019,2019,Sep-19,"Victorian Hospitals across Gippsland, Geelong, Warrnmabool, and regional towns",Australia,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.governmentnews.com.au/type_contributors/ransomware-rising-how-hackers-are-targeting-government-agencies/,,
361,9/3/2019,2019,,Betty Jean People’s Health,MO,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://healthitsecurity.com/news/152k-patients-impacted-in-betty-jean-peoples-health-ransomware-attack,,data permanently lost
362,9/3/2019,2019,,Demant,Denmark,,,,Critical Manufacturing,Healthcare and Public Health,,,,,,,,,,,https://www.zdnet.com/article/ransomware-incident-to-cost-danish-company-a-whopping-95-million/,,
363,9/3/2019,2019,,"Monroe-Woodbury Central School District, Orange County, New York",NY,New York,Orange County,"Orange County, NY",Education Facilities Subsector,,,,weeks,1 month or less,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/students-rejoice-school-district-closed-by-ransomware-attack/,,
364,9/4/2019,2019,,"Flagstaff School District, Arizona",AZ,Arizona,Coconino County,"Coconino County, AZ",Education Facilities Subsector,,,,1 week,1 week or less,Undisclosed bitcoin,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/students-rejoice-school-district-closed-by-ransomware-attack/,,
365,9/4/2019,2019,,Wolcott School District,CT,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.usnews.com/news/best-states/connecticut/articles/2019-09-10/ransomware-attack-hits-school-district-twice-in-4-months,,second ransomware attack in 4 months. Previous one lasted 3 months
366,9/6/2019,2019,,Rockford Public Schools,MI,Michigan,Kent County,"Kent County, MI",Education Facilities Subsector,,,,,,,,,,,,https://www.rrstar.com/news/20190909/rockford-public-schools-phones-internet-disabled-by-ransomware,,
367,9/8/2019,2019,,Entercom Communications Corp.,PA,,,,Communications,,,,,,"500,000","500,000",$1000000 or less,No,N/A,N/A,https://www.inquirer.com/business/entercom-radio-hack-ransomware-kyw-20190911.html,,
368,9/20/2019,2019,,"Campbell County Memorial Hospital, Wyoming",WY,,,,Healthcare and Public Health,,,,More than 1 month,More than 1 month,,,,,,,https://www.cyberdefensemagazine.com/campbell-county-memorial-hospital-in-wyoming-hit-by-ransomware-attack/,,
369,9/23/2019,2019,,Southeastern Minnesota Oral & Maxillofacial Surgery (SEMOMS) ,MN,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.hipaajournal.com/southeastern-minnesota-oral-maxillofacial-surgery-ransomware-attack-impacts-80000-patients/,,
370,9/24/2019,2019,,Rheinmetall AG,"Brazil, Mexico, and the United States",,,,Critical Manufacturing,,,,2-4 Weeks,1 month or less,,,,,,,https://www.zdnet.com/article/malware-infection-disrupts-production-at-defence-contractor-plants-in-three-countries/,,
371,9/25/2019,2019,,Ayuntamiento de Jerez (Jerez City Council),Spain,,,,Government Facilities,,Ryuk,S0446,,,,,,No,N/A,N/A,https://elpais.com/politica/2019/10/04/actualidad/1570211574_890574.html,,
372,9/30/2019,2019,"Unspecified, last week of September, 2019","City of Cornelia, GA",GA,Georgia,Habersham County,"Habersham County, GA",Government Facilities,,,,1 day,1 day or less,,,,No,N/A,N/A,https://www.spamfighter.com/News-22472-Cornelia-City-faced-ransomware-attack-for-the-third-time-this-year.htm,,
373,9/30/2019,2019,,North Carolina State Bar,NC,North Carolina,Wake County,"Wake County, NC",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.insurancejournal.com/news/southeast/2019/10/07/544667.htm,,
374,9/30/2019,2019,,Gippsland Health Alliance and South West Alliance of Rural Health,Australia,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.vic.gov.au/cyber-health-incident,,
375,10/1/2019,2019,,"(3) DCH Health System hospitals (Tuscaloosa, Fayetter, and Northport, AL)",AL,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,Yes,,,https://www.cbsnews.com/news/ransomware-attack-621-hospitals-cities-and-schools-hit-so-far-in-2019/; https://www.bleepingcomputer.com/news/security/dch-hospital-pays-ryuk-ransomware-for-decryption-key/ https://www.bleepingcomputer.com/news/security/us-and-australian-hospitals-targeted-by-new-ransomware-attacks/,,
376,10/1/2019,2019,Oct-19,Ozark Orthopaedics,AR,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/arkansas-provider-alerts-15-000-patients-of-ransomware-attack.html,,
377,10/2/2019,2019,,CareerSource Tampa Bay,FL,Florida,Hillsborough County,"Hillsborough County, FL",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.wfla.com/8-on-your-side/better-call-behnken/cyberattack-hits-careersource-agencies-in-tampa-bay/,377-378,
378,10/2/2019,2019,,CareerSource Pinellas,FL,Florida,Pinellas County,"Pinellas County, FL",Government Facilities,,,,,,,,,No,N/A,N/A,https://www.wfla.com/8-on-your-side/better-call-behnken/cyberattack-hits-careersource-agencies-in-tampa-bay/,377-378,
379,10/3/2019,2019,,Cherry Hill School District,NJ,New Jersey,Camden County,"Camden County, NJ",Education Facilities Subsector,,Ryuk,S0446,1 week,1 week or less,,,,,,,https://www.phillyvoice.com/ransomware-cherry-hill-school-district-computer-attack-ryuk-russia-based/,,
380,10/5/2019,2019,,Sunapee Middle School,NH,New Hampshire,Sullivan County,"Sullivan County, NH",Education Facilities Subsector,,,,2 months,More than 1 month,,,,No,N/A,N/A,https://www.unionleader.com/news/education/ransomware-attack-thwarted-at-sunapee/article_325cea79-c2a8-5e56-90ed-b474c2f69635.html,,
381,10/5/2019,2019,,WOWW Radio,ID,,,,Communications,,,,,,,,,No,N/A,N/A,https://boisedev.com/news/2019/04/02/report-boise-radio-stations-hit-with-ransomware-affecting-on-air-operations/,,
382,10/12/2019,2019,,Ingredion,IL,,,,Food and Agriculture,,,,,,,,,,,,https://www.thegazette.com/subject/news/business/ingredion-to-deduct-wages-from-employee-paychecks-following-ransomware-attack-20191129,,
383,10/12/2019,2019,,M6,France,,,,Communications,,Bitpaymer,,,,,,,,,,https://www.zdnet.com/article/m6-one-of-frances-biggest-tv-channels-hit-by-ransomware/; https://lexpansion.lexpress.fr/high-tech/piratage-informatique-apres-m6-d-autres-medias-francais-alertes_2103513.html,,
384,10/13/2019,2019,,Pilz,Germany,,,,Critical Manufacturing,,Bitpaymer,,8,1 month or less,,,,,,,https://www.zdnet.com/article/major-german-manufacturer-still-down-a-week-after-getting-hit-by-ransomware/,,
385,10/13/2019,2019,,TrialWorks (MSP),FL,,,,Information Technology,,,,9,1 month or less,,,,Yes,,,https://www.bleepingcomputer.com/news/security/trialworks-ransomware-attack-disrupts-court-cases-and-deadlines/,,
386,10/14/2019,2019,,Alphabroder,PA,,,,Commercial Facilities,Critical Manufacturing,Revil/sodinokibi,S0496,Ongoing as of 10/16/2019,,,,,No,N/A,N/A,https://www.asicentral.com/news/newsletters/promogram/october-2019/alphabroder-suffers-ransomware-attack/,,
387,10/14/2019,2019,,Pitney Bowes,CT,,,,Transportation Systems,,Ryuk,S0446,4 days,1 week or less,,,,No,N/A,N/A,https://maintenance.pb.com/pbcom/outage.html?pbcom=october-14,,
388,10/15/2019,2019,"Unspecified, mid-October, 2019",LifeLabs,Canada,,,,Healthcare and Public Health,,,,,,,,,Yes,,,https://www.cybersecurity-insiders.com/lifelabs-canada-hit-by-a-ransomware-attack/,,
389,10/21/2019,2019,,Andrew Agencies,Canada,,,,Financial Services,,Maze,S0449,,,150 bitcoin,$1.1 million,$5000000 or less,No,N/A,N/A,https://ottawacitizen.com/technology/tech-news/manitoba-insurance-agency-admits-it-was-hit-by-ransomware/wcm/665f3d3a-4c7e-4f3e-9ac4-3b8ba9d5390d,,
390,10/21/2019,2019,,Johnson City,TN,Tennessee,Washington County,"Washington County, TN",Government Facilities,,,,Hours,1 day or less,,,,No,N/A,N/A,https://wcyb.com/news/local/johnson-city-hiring-cybersecurity-expert-months-after-ransomware-attack,,
391,10/25/2019,2019,,National Veterinary Associates ,CA,,,,Healthcare and Public Health,,Ryuk,S0446,Months,More than 1 month,,,,,,,https://krebsonsecurity.com/2019/11/ransomware-bites-400-veterinary-hospitals/,,
392,10/27/2019,2019,,Children's Choice Pediatrics,TX,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.hipaajournal.com/ransomware-attacks-reported-by-florida-and-texas-healthcare-providers/,,
393,10/28/2019,2019,,Boardriders,CA,,,,Commercial Facilities,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/quiksilver-and-billabong-affected-by-ransomware-attack/,,
394,10/29/2019,2019,,Las Cruces Public School District,NM,New Mexico,Doña Ana County,"Doña Ana County, NM",Education Facilities Subsector,,Ryuk,S0446,Months,More than 1 month,,,,No,N/A,N/A,https://edscoop.com/ransomware-forces-new-mexico-school-district-scrub-30000-devices/,,3rd time in the past 6 years they’ve been attacked
395,11/1/2019,2019,"Unspecified, November, 2019",Allied Universal,CA,,,,Information Technology,,Maze,S0449,,,300 bitcoin,$2.3 million,$5000000 or less,No,N/A,N/A,https://www.bankinfosecurity.com/maze-ransomware-gang-names-more-alleged-victims-a-13539,,
396,11/2/2019,2019,,Government of Nunavut,Canada,,,,Government Facilities,,,,,,,,,No,N/A,N/A,https://nunatsiaq.com/stories/article/government-of-nunavut-says-its-computer-backups-are-ok-despite-ransomware-attack/,,
397,11/4/2019,2019,,Foxborough Regional Charter School,MA,Massachusetts,Norfolk County,"Norfolk County, MA",Education Facilities Subsector,,,,Weeks,1 month or less,"$5,000 ","$5,000 ",$50000 or less,,,,https://www.bostonglobe.com/metro/2019/11/04/ransomware-attackers-demand-almost-from-foxborough-school-amid-weekslong-network-shutdown/RekQZXXFn6L1sRx5lvMmLL/story.html,,
398,11/4/2019,2019,,Lincoln County School District,MS,Michigan,Lincoln County,"Lincoln County, MS",Education Facilities Subsector,,,,,,,,,,,,https://www.clarionledger.com/story/news/local/2019/11/05/cyber-attack-ransomware-lincoln-county-school-district-mississippi-internet-safety/4164970002/,,
399,11/4/2019,2019,,Everis,Spain,,,,Information Technology,,Bitpaymer,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-attacks-hit-everis-and-spains-largest-radio-network/,,
400,11/4/2019,2019,,Cadena SER,Spain,,,,Communications,,,,,,"750,000 euros in bitcoin","$826,000 ",$1000000 or less,,,,https://www.cryptopolitan.com/spainish-radio-network-hit-by-ransomware/,,
401,11/6/2019,2019,,ABC Liquor Store in Pitt County,NC,,,,Commercial Facilities,,,,,,,,,No,N/A,N/A,https://www.witn.com/content/news/Ransomware-attack-delays-local-liquor-store-opening-564584301.html,,
402,11/6/2019,2019,,Wood County Schools,WV,West Virginia,Wood County,"Wood County, WV",Education Facilities Subsector,,,,Months,More than 1 month,,,,,,,http://wvmetronews.com/2019/11/14/wood-county-schools-rebuild-continues-after-ransomware-attack/,,
403,11/8/2019,2019,,Center for Facial Restoration,FL,,,,Healthcare and Public Health,,,,Months,More than 1 month,,,,,,,https://bobsullivan.net/syndication/plastic-surgeons-patients-extorted-by-hackers-as-ransomware-gangs-ramp-up-dual-threat-hacks/,,
404,11/9/2019,2019,,SmarterASP.NET,CA,,,,Information Technology,Communications,,,,,,,,No,N/A,N/A,https://threatpost.com/ransomware-attack-downs-hosting-service-smarterasp-net/150072/,,
405,11/10/2019,2019,,Petróleos Mexicanos (Pemex),Mexico,,,,Energy,,Bitpaymer,,4,1 week or less,565 bitcoin,$4.9 million,$5000000 or less,No,N/A,N/A,https://www.reuters.com/article/us-mexico-pemex/hackers-demand-5-million-from-mexicos-pemex-in-cyberattack-idUSKBN1XN03A; https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/pemex-recovery-update/,,
406,11/11/2019,2019,,Central Kansas Orthopedic Group,KS,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.databreaches.net/attacked-by-ransomware-central-kansas-orthopedic-group-refused-to-pay-ransom-and-restored-from-backups/,,
407,11/12/2019,2019,,Penn-Harris Madison Schools,IN,Indiana,St. Joseph County,"St. Joseph County, IN",Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.southbendtribune.com/news/education/penn-harris-madison-schools-working-to-restore-network-after-ransomware/article_fa7359e7-9805-51cd-94d3-34bd65edb461.html,,
408,11/12/2019,2019,,Port Neches-Groves ISD,TX,Texas,Jefferson County,"Jefferson County, TX",Education Facilities Subsector,,,,,,,,,,,,https://www.beaumontenterprise.com/news/article/Port-Neches-Groves-ISD-attacked-by-ransomware-14829523.php,,
409,11/15/2019,2019,,Chicopee Public Schools,MA,Massachusetts,Hampden County,"Hampden County, MA",Education Facilities Subsector,,,,,,,,,,,,https://www.masslive.com/news/2019/11/chicopee-school-computers-being-restored-after-ransomware-attack-leaves-many-files-useless.html,,
410,11/15/2019,2019,,Rouen University Hospital Center (CHU),France,,,,Healthcare and Public Health,,,,,,,,,No,N/A,N/A,https://www.cisomag.com/rouen-hospital-ransomware-attack/,,
